46	68	39
0	1	1
1	2	1
2	3	1
3	4	1
4	4	1
5	4	1
6	5	1
7	5	1
8	6	1
9	6	1
10	7	1
11	8	1
12	9	1
13	10	1
14	11	1
15	12	1
16	13	1
17	14	1
18	14	1
19	14	1
20	15	1
21	16	1
22	17	1
23	18	1
24	19	1
25	20	1
26	21	1
27	22	1
28	23	1
29	24	1
30	25	1
31	26	1
32	27	1
33	28	1
34	29	1
35	30	1
36	31	1
37	32	1
38	33	1
39	34	1
40	35	1
41	36	1
42	36	1
43	37	1
44	38	1
45	39	1
0	16	100	2000000
1	2	100	800000
1	8	100	1200000
2	8	100	800000
2	10	100	800000
8	11	100	800000
11	10	100	400000
8	7	100	800000
8	13	100	800000
7	6	100	400000
7	3	100	800000
3	4	100	400000
4	5	100	400000
4	6	100	800000
6	9	100	800000
9	13	100	400000
13	18	100	800000
12	18	100	400000
12	11	100	400000
10	18	100	800000
10	19	100	400000
16	19	100	400000
16	15	100	800000
21	15	100	800000
21	20	100	400000
16	20	100	1200000
16	17	100	800000
19	17	100	800000
17	25	100	400000
20	22	100	800000
22	23	100	400000
23	24	100	400000
24	25	100	400000
25	26	100	800000
26	18	100	800000
26	29	100	800000
14	9	100	400000
14	13	100	400000
14	29	100	800000
14	30	100	800000
14	36	100	1200000
14	42	100	1600000
14	45	100	2000000
14	43	100	1200000
9	43	100	1200000
9	44	100	2000000
9	45	100	2000000
42	44	100	800000
42	41	100	400000
36	41	100	800000
39	41	100	400000
40	41	100	400000
38	41	100	800000
38	39	100	400000
38	40	100	400000
38	35	100	800000
37	35	100	400000
37	36	100	400000
31	35	100	400000
31	30	100	400000
31	32	100	400000
32	28	100	400000
29	28	100	400000
32	34	100	800000
34	38	100	400000
34	33	100	400000
27	33	100	800000
27	25	100	1200000
